Ano,Instituição,Conta,Valor,População,Variacao_Valor,Variacao_Populacao,Variacao_População,Valor_k,Populacao_k
2022,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,843233131.0,30827.0,282.1873409097788,0.7648808550975605,,6,6
2023,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,395080505.0,30827.0,-53.14694234897181,0.0,,6,6
2024,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,597109708.4285583,31414.471428571385,-53.14694234897181,,0.0,6,6
2025,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,634668609.4099274,31740.15714285709,-53.14694234897181,,0.0,6,6
2017,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,254582434.0,29077.0,,,,6,6
2018,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,601743890.0,29077.0,136.36504708726292,0.0,,6,6
2019,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,464784242.0,30096.0,-22.760455116544687,3.504488083364854,,6,6
2020,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,405787976.0,30349.0,-12.693258649676853,0.8406432748538029,,6,6
2021,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,101503567.0,30593.0,-74.98605848291572,0.8039803617911678,,6,6
2022,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,426037848.0,30827.0,319.72697176248,0.7648808550975605,,6,6
2023,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,153511878.0,30827.0,-63.9675491929534,0.0,,6,6
2024,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,188279058.35714722,31414.471428571385,-63.9675491929534,,0.0,6,6
2025,Prefeitura Municipal de Arraial do Cabo - RJ,ITBI,151925328.8214264,31740.15714285709,-63.9675491929534,,0.0,6,6
2017,Prefeitura Municipal de Baía da Traição - PB,IPTU,24967030.0,8951.0,49.117628684351324,1.416270111035578,,5,6
2018,Prefeitura Municipal de Baía da Traição - PB,IPTU,37894616.0,8951.0,51.77862965679139,0.0,,5,6
2019,Prefeitura Municipal de Baía da Traição - PB,IPTU,34243736.0,8933.0,-9.63429738937056,-0.20109484973745984,,5,6
2020,Prefeitura Municipal de Baía da Traição - PB,IPTU,32270322.0,8993.0,-5.762846670702048,0.6716668532407821,,5,6
2021,Prefeitura Municipal de Baía da Traição - PB,IPTU,34892132.0,9096.0,8.12452382718709,1.1453352607583733,,5,6
2022,Prefeitura Municipal de Baía da Traição - PB,IPTU,31032105.0,9197.0,-11.062743314166068,1.1103781882146002,,5,6
2023,Prefeitura Municipal de Baía da Traição - PB,IPTU,37278114.0,9197.0,20.12757110740635,0.0,,5,6
2024,Prefeitura Municipal de Baía da Traição - PB,IPTU,36538343.32089567,9244.14285714287,20.12757110740635,,0.0,5,6
2025,Prefeitura Municipal de Baía da Traição - PB,IPTU,37361015.49253726,9293.85714285716,20.12757110740635,,0.0,5,6
2017,Prefeitura Municipal de Baía da Traição - PB,ISS,28453955.0,8951.0,-46.787249386417905,1.416270111035578,,6,6
2018,Prefeitura Municipal de Baía da Traição - PB,ISS,36946374.0,8951.0,29.84618131293171,0.0,,6,6
2019,Prefeitura Municipal de Baía da Traição - PB,ISS,26239762.0,8933.0,-28.978789637110257,-0.20109484973745984,,6,6
2020,Prefeitura Municipal de Baía da Traição - PB,ISS,71443972.0,8993.0,172.27370431179975,0.6716668532407821,,6,6
2021,Prefeitura Municipal de Baía da Traição - PB,ISS,119074514.0,9096.0,66.66838456294116,1.1453352607583733,,6,6
2022,Prefeitura Municipal de Baía da Traição - PB,ISS,162801707.0,9197.0,36.72254585057555,1.1103781882146002,,6,6
2023,Prefeitura Municipal de Baía da Traição - PB,ISS,121378673.0,9197.0,-25.443857293216222,0.0,,6,6
2024,Prefeitura Municipal de Baía da Traição - PB,ISS,170063945.48571777,9244.14285714287,-25.443857293216222,,0.0,6,6
2025,Prefeitura Municipal de Baía da Traição - PB,ISS,192381722.30000305,9293.85714285716,-25.443857293216222,,0.0,6,6
2017,Prefeitura Municipal de Baía da Traição - PB,ITBI,13558632.0,8951.0,-29.15238315247167,1.416270111035578,,6,6
2018,Prefeitura Municipal de Baía da Traição - PB,ITBI,16100291.0,8951.0,18.745689093117957,0.0,,6,6
2019,Prefeitura Municipal de Baía da Traição - PB,ITBI,23864292.0,8933.0,48.22273709214324,-0.20109484973745984,,6,6
2020,Prefeitura Municipal de Baía da Traição - PB,ITBI,19875812.0,8993.0,-16.713171293747166,0.6716668532407821,,6,6
2021,Prefeitura Municipal de Baía da Traição - PB,ITBI,31939396.0,9096.0,60.694798280442576,1.1453352607583733,,6,6
2022,Prefeitura Municipal de Baía da Traição - PB,ITBI,8631814.0,9197.0,-72.97439813827413,1.1103781882146002,,6,6
2023,Prefeitura Municipal de Baía da Traição - PB,ITBI,43089403.0,9197.0,399.1929042956672,0.0,,6,6
2024,Prefeitura Municipal de Baía da Traição - PB,ITBI,34048005.666666985,9244.14285714287,399.1929042956672,,0.0,6,6
2025,Prefeitura Municipal de Baía da Traição - PB,ITBI,36942625.952381134,9293.85714285716,399.1929042956672,,0.0,6,6
2017,Prefeitura Municipal de Cabedelo - PB,IPTU,2123657796.0,66858.0,49.49713025379528,1.8648871011975432,,6,6
2018,Prefeitura Municipal de Cabedelo - PB,IPTU,1666740444.0,66858.0,-21.515582824154777,0.0,,6,6
2019,Prefeitura Municipal de Cabedelo - PB,IPTU,1571550914.0,66680.0,-5.711118989322372,-0.2662359029585115,,6,6
2020,Prefeitura Municipal de Cabedelo - PB,IPTU,1964389087.0,67736.0,24.99684671367892,1.5836832633473241,,6,6
2021,Prefeitura Municipal de Cabedelo - PB,IPTU,1675354294.0,68767.0,-14.713724226670987,1.5220857446557323,,6,6
2022,Prefeitura Municipal de Cabedelo - PB,IPTU,3408321184.0,69773.0,103.43883059280832,1.4629109892826397,,6,6
2023,Prefeitura Municipal de Cabedelo - PB,IPTU,4880371800.0,69773.0,43.18990307927506,0.0,,6,6
2024,Prefeitura Municipal de Cabedelo - PB,IPTU,4172651799.428711,70440.77142857132,43.18990307927506,,0.0,6,6
2025,Prefeitura Municipal de Cabedelo - PB,IPTU,4600482059.500122,71034.30000000005,43.18990307927506,,0.0,6,6
2017,Prefeitura Municipal de Cabedelo - PB,ISS,4766344053.0,66858.0,10.012067858932117,1.8648871011975432,,6,6
2018,Prefeitura Municipal de Cabedelo - PB,ISS,6343590412.0,66858.0,33.09132411470088,0.0,,6,6
2019,Prefeitura Municipal de Cabedelo - PB,ISS,6800152552.0,66680.0,7.197219718605008,-0.2662359029585115,,6,6
2020,Prefeitura Municipal de Cabedelo - PB,ISS,6767109073.0,67736.0,-0.48592261346080967,1.5836832633473241,,6,6
2021,Prefeitura Municipal de Cabedelo - PB,ISS,5912522536.0,68767.0,-12.628532033120376,1.5220857446557323,,6,6
2022,Prefeitura Municipal de Cabedelo - PB,ISS,7083588541.0,69773.0,19.806537698074656,1.4629109892826397,,6,6
2023,Prefeitura Municipal de Cabedelo - PB,ISS,15555521309.0,69773.0,119.5994476382165,0.0,,6,6
2024,Prefeitura Municipal de Cabedelo - PB,ISS,12312675212.285645,70440.77142857132,119.5994476382165,,0.0,6,6
2025,Prefeitura Municipal de Cabedelo - PB,ISS,13506039357.925293,71034.30000000005,119.5994476382165,,0.0,6,6
2017,Prefeitura Municipal de Cabedelo - PB,ITBI,2315933636.0,66858.0,-13.099618827421223,1.8648871011975432,,6,6
2018,Prefeitura Municipal de Cabedelo - PB,ITBI,2850801491.0,66858.0,23.095128750053707,0.0,,6,6
2019,Prefeitura Municipal de Cabedelo - PB,ITBI,2842237381.0,66680.0,-0.3004106047733268,-0.2662359029585115,,6,6
2020,Prefeitura Municipal de Cabedelo - PB,ITBI,3317837272.0,67736.0,16.733292376608855,1.5836832633473241,,6,6
2021,Prefeitura Municipal de Cabedelo - PB,ITBI,6308282164.0,68767.0,90.13235571367709,1.5220857446557323,,6,6
2022,Prefeitura Municipal de Cabedelo - PB,ITBI,6313342657.0,69773.0,0.08021982638759528,1.4629109892826397,,6,6
2023,Prefeitura Municipal de Cabedelo - PB,ITBI,8271538142.0,69773.0,31.016778137787693,0.0,,6,6
2024,Prefeitura Municipal de Cabedelo - PB,ITBI,8692976425.442871,70440.77142857132,31.016778137787693,,0.0,6,6
2025,Prefeitura Municipal de Cabedelo - PB,ITBI,9728825848.199951,71034.30000000005,31.016778137787693,,0.0,6,6
2017,Prefeitura Municipal de Conde - PB,IPTU,787269886.0,24380.0,15.073249468274529,1.6892596454640252,,6,6
2018,Prefeitura Municipal de Conde - PB,IPTU,948460856.0,24380.0,20.474677472929525,0.0,,6,6
2019,Prefeitura Municipal de Conde - PB,IPTU,1063138303.0,24323.0,12.090899300118284,-0.23379819524199652,,6,6
2020,Prefeitura Municipal de Conde - PB,IPTU,907096794.0,24670.0,-14.677442112627936,1.426633227809071,,6,6
2021,Prefeitura Municipal de Conde - PB,IPTU,1154076960.0,25010.0,27.227542598943423,1.378192136197809,,6,6
2022,Prefeitura Municipal de Conde - PB,IPTU,1709220948.0,25341.0,48.10285684933871,1.3234706117553063,,6,6
2023,Prefeitura Municipal de Conde - PB,IPTU,2285745070.0,25341.0,33.7302279541217,0.0,,6,6
2024,Prefeitura Municipal de Conde - PB,IPTU,2132790833.7856445,25561.314285714296,33.7302279541217,,0.0,6,6
2025,Prefeitura Municipal de Conde - PB,IPTU,2350135338.928528,25756.900000000023,33.7302279541217,,0.0,6,6
2017,Prefeitura Municipal de Conde - PB,ISS,941957615.0,24380.0,-22.720276852380273,1.6892596454640252,,5,6
2018,Prefeitura Municipal de Conde - PB,ISS,1025801920.0,24380.0,8.901069821490859,0.0,,5,6
2019,Prefeitura Municipal de Conde - PB,ISS,1093143435.0,24323.0,6.564767884232459,-0.23379819524199652,,5,6
2020,Prefeitura Municipal de Conde - PB,ISS,1107451888.0,24670.0,1.3089273138250146,1.426633227809071,,5,6
2021,Prefeitura Municipal de Conde - PB,ISS,1237085573.0,25010.0,11.705581651417084,1.378192136197809,,5,6
2022,Prefeitura Municipal de Conde - PB,ISS,1855952292.0,25341.0,50.02618513278871,1.3234706117553063,,5,6
2023,Prefeitura Municipal de Conde - PB,ISS,2141751642.0,25341.0,15.399067704052815,0.0,,5,6
2024,Prefeitura Municipal de Conde - PB,ISS,2126872803.3585205,25561.314285714296,15.399067704052815,,0.0,5,6
2025,Prefeitura Municipal de Conde - PB,ISS,2323941333.1698,25756.900000000023,15.399067704052815,,0.0,5,6
2017,Prefeitura Municipal de Conde - PB,ITBI,307818064.0,24380.0,86.79437619534103,1.6892596454640252,,6,6
2018,Prefeitura Municipal de Conde - PB,ITBI,371791058.0,24380.0,20.782728982403054,0.0,,6,6
2019,Prefeitura Municipal de Conde - PB,ITBI,574475019.0,24323.0,54.51555561618697,-0.23379819524199652,,6,6
2020,Prefeitura Municipal de Conde - PB,ITBI,786571644.0,24670.0,36.92007798166763,1.426633227809071,,6,6
2021,Prefeitura Municipal de Conde - PB,ITBI,974323598.0,25010.0,23.869657065847647,1.378192136197809,,6,6
2022,Prefeitura Municipal de Conde - PB,ITBI,1203186759.0,25341.0,23.48944041484664,1.3234706117553063,,6,6
2023,Prefeitura Municipal de Conde - PB,ITBI,1006846575.0,25341.0,-16.31834646877127,0.0,,6,6
2024,Prefeitura Municipal de Conde - PB,ITBI,1344448918.0667114,25561.314285714296,-16.31834646877127,,0.0,6,6
2025,Prefeitura Municipal de Conde - PB,ITBI,1494425054.038147,25756.900000000023,-16.31834646877127,,0.0,6,6
2017,Prefeitura Municipal de Ipojuca - PE,IPTU,2194867502.0,92965.0,25.36278249772428,1.777952945555672,,6,6
2018,Prefeitura Municipal de Ipojuca - PE,IPTU,2024838383.0,92965.0,-7.7466689376496145,0.0,,6,6
2019,Prefeitura Municipal de Ipojuca - PE,IPTU,3498482922.0,94709.0,72.77837833243011,1.875974829236804,,6,6
2020,Prefeitura Municipal de Ipojuca - PE,IPTU,2544016910.0,96204.0,-27.282283014671805,1.5785194648871848,,6,6
2021,Prefeitura Municipal de Ipojuca - PE,IPTU,5406371529.0,97669.0,112.51319154950114,1.5228057045445054,,6,6
2022,Prefeitura Municipal de Ipojuca - PE,IPTU,6381892242.0,99101.0,18.043908151100354,1.4661765759862444,,6,6
2023,Prefeitura Municipal de Ipojuca - PE,IPTU,6986058382.0,99101.0,9.46688093578123,0.0,,6,6
2024,Prefeitura Municipal de Ipojuca - PE,IPTU,7718870976.428467,100890.71428571409,9.46688093578123,,0.0,6,6
2025,Prefeitura Municipal de Ipojuca - PE,IPTU,8622139711.670654,102092.14285714272,9.46688093578123,,0.0,6,6
2017,Prefeitura Municipal de Ipojuca - PE,ISS,37594896624.0,92965.0,1.5113993671265424,1.777952945555672,,6,6
2018,Prefeitura Municipal de Ipojuca - PE,ISS,43883415928.0,92965.0,16.727055714220285,0.0,,6,6
2019,Prefeitura Municipal de Ipojuca - PE,ISS,47052698164.0,94709.0,7.222049990820856,1.875974829236804,,6,6
2020,Prefeitura Municipal de Ipojuca - PE,ISS,46153919898.0,96204.0,-1.9101524483619459,1.5785194648871848,,6,6
2021,Prefeitura Municipal de Ipojuca - PE,ISS,51119141152.0,97669.0,10.757962194702241,1.5228057045445054,,6,6
2022,Prefeitura Municipal de Ipojuca - PE,ISS,38950820786.0,99101.0,-23.803843514933398,1.4661765759862444,,6,6
2023,Prefeitura Municipal de Ipojuca - PE,ISS,74660438784.0,99101.0,91.67873045395496,0.0,,6,6
2024,Prefeitura Municipal de Ipojuca - PE,ISS,63757876125.33301,100890.71428571409,91.67873045395496,,0.0,6,6
2025,Prefeitura Municipal de Ipojuca - PE,ISS,67602010508.19043,102092.14285714272,91.67873045395496,,0.0,6,6
2017,Prefeitura Municipal de Ipojuca - PE,ITBI,1799139642.0,92965.0,22.070340057676585,1.777952945555672,,6,6
2018,Prefeitura Municipal de Ipojuca - PE,ITBI,2119569790.0,92965.0,17.810187743059025,0.0,,6,6
2019,Prefeitura Municipal de Ipojuca - PE,ITBI,2583926769.0,94709.0,21.908076874411385,1.875974829236804,,6,6
2020,Prefeitura Municipal de Ipojuca - PE,ITBI,2569474728.0,96204.0,-0.55930536319313,1.5785194648871848,,6,6
2021,Prefeitura Municipal de Ipojuca - PE,ITBI,5481216239.0,97669.0,113.32049618041621,1.5228057045445054,,6,6
2022,Prefeitura Municipal de Ipojuca - PE,ITBI,4678491640.0,99101.0,-14.645008771747525,1.4661765759862444,,6,6
2023,Prefeitura Municipal de Ipojuca - PE,ITBI,6045694844.0,99101.0,29.223162275437996,0.0,,6,6
2024,Prefeitura Municipal de Ipojuca - PE,ITBI,6574241040.171631,100890.71428571409,29.223162275437996,,0.0,6,6
2025,Prefeitura Municipal de Ipojuca - PE,ITBI,7314582057.4001465,102092.14285714272,29.223162275437996,,0.0,6,6
2017,Prefeitura Municipal de João Pessoa - PB,IPTU,19113191681.0,801718.0,11.321528096191603,1.298901493231308,,6,6
2018,Prefeitura Municipal de João Pessoa - PB,IPTU,24413554825.0,801718.0,27.731439272222502,0.0,,6,6
2019,Prefeitura Municipal de João Pessoa - PB,IPTU,29260639483.0,800323.0,19.854071612039405,-0.17400133213922864,,6,6
2020,Prefeitura Municipal de João Pessoa - PB,IPTU,30649625282.0,809015.0,4.7469427310602,1.0860615026683007,,6,6
2021,Prefeitura Municipal de João Pessoa - PB,IPTU,34042444035.0,817511.0,11.069690809539988,1.050165942535064,,6,6
2022,Prefeitura Municipal de João Pessoa - PB,IPTU,40168192043.0,825796.0,17.9944424721737,1.0134420209636286,,6,6
2023,Prefeitura Municipal de João Pessoa - PB,IPTU,49366033018.0,825796.0,22.898319558803458,0.0,,6,6
2024,Prefeitura Municipal de João Pessoa - PB,IPTU,50737868187.4668,831320.3714285735,22.898319558803458,,0.0,6,6
2025,Prefeitura Municipal de João Pessoa - PB,IPTU,55334378684.552734,836218.7000000011,22.898319558803458,,0.0,6,6
2017,Prefeitura Municipal de João Pessoa - PB,ISS,55520644875.0,801718.0,-5.717903166137239,1.298901493231308,,6,6
2018,Prefeitura Municipal de João Pessoa - PB,ISS,70288419764.0,801718.0,26.598709222935703,0.0,,6,6
2019,Prefeitura Municipal de João Pessoa - PB,ISS,74450943765.0,800323.0,5.922062289885122,-0.17400133213922864,,6,6
2020,Prefeitura Municipal de João Pessoa - PB,ISS,72742160103.0,809015.0,-2.2951806593529245,1.0860615026683007,,6,6
2021,Prefeitura Municipal de João Pessoa - PB,ISS,81987489378.0,817511.0,12.709726054201553,1.050165942535064,,6,6
2022,Prefeitura Municipal de João Pessoa - PB,ISS,93988982977.0,825796.0,14.638201132940655,1.0134420209636286,,6,6
2023,Prefeitura Municipal de João Pessoa - PB,ISS,118820661968.0,825796.0,26.419776238111382,0.0,,6,6
2024,Prefeitura Municipal de João Pessoa - PB,ISS,116431842118.92969,831320.3714285735,26.419776238111382,,0.0,6,6
2025,Prefeitura Municipal de João Pessoa - PB,ISS,125303860916.96094,836218.7000000011,26.419776238111382,,0.0,6,6
2017,Prefeitura Municipal de João Pessoa - PB,ITBI,26083771966.0,801718.0,2.324126314999453,1.298901493231308,,6,6
2018,Prefeitura Municipal de João Pessoa - PB,ITBI,30016997918.0,801718.0,15.079206938041523,0.0,,6,6
2019,Prefeitura Municipal de João Pessoa - PB,ITBI,23274397617.0,800323.0,-22.462607084890163,-0.17400133213922864,,6,6
2020,Prefeitura Municipal de João Pessoa - PB,ITBI,29367032418.0,809015.0,26.17741133953062,1.0860615026683007,,6,6
2021,Prefeitura Municipal de João Pessoa - PB,ITBI,36402998343.0,817511.0,23.958722913682728,1.050165942535064,,6,6
2022,Prefeitura Municipal de João Pessoa - PB,ITBI,40671946622.0,825796.0,11.726913917300674,1.0134420209636286,,6,6
2023,Prefeitura Municipal de João Pessoa - PB,ITBI,42249065721.0,825796.0,3.877658263218997,0.0,,6,6
2024,Prefeitura Municipal de João Pessoa - PB,ITBI,44129466500.13574,831320.3714285735,3.877658263218997,,0.0,6,6
2025,Prefeitura Municipal de João Pessoa - PB,ITBI,47054009969.68945,836218.7000000011,3.877658263218997,,0.0,6,6
2017,Prefeitura Municipal de Lucena - PB,IPTU,214866067.0,12965.0,24.201486788432682,1.2574195563886281,,6,6
2018,Prefeitura Municipal de Lucena - PB,IPTU,298254001.0,12965.0,38.80926158526465,0.0,,6,6
2019,Prefeitura Municipal de Lucena - PB,IPTU,243634862.0,12944.0,-18.31296103886968,-0.16197454685692447,,6,6
2020,Prefeitura Municipal de Lucena - PB,IPTU,249046794.0,13080.0,2.2213290641468264,1.0506798516687343,,6,6
2021,Prefeitura Municipal de Lucena - PB,IPTU,545076496.0,13214.0,118.8650924773599,1.0244648318042726,,6,6
2022,Prefeitura Municipal de Lucena - PB,IPTU,633668844.0,13344.0,16.253195404705178,0.9838050552444466,,6,6
2023,Prefeitura Municipal de Lucena - PB,IPTU,867444642.0,13344.0,36.89242420761971,0.0,,6,6
2024,Prefeitura Municipal de Lucena - PB,IPTU,853028790.2795105,13431.042857142864,36.89242420761971,,0.0,6,6
2025,Prefeitura Municipal de Lucena - PB,IPTU,957479091.5466003,13508.100000000006,36.89242420761971,,0.0,6,6
2017,Prefeitura Municipal de Lucena - PB,ISS,238717822.0,12965.0,30.123743838171336,1.2574195563886281,,6,6
2018,Prefeitura Municipal de Lucena - PB,ISS,169368996.0,12965.0,-29.050544035208226,0.0,,6,6
2019,Prefeitura Municipal de Lucena - PB,ISS,79071572.0,12944.0,-53.314022124804936,-0.16197454685692447,,6,6
2020,Prefeitura Municipal de Lucena - PB,ISS,24477859.0,13080.0,-69.04341423742024,1.0506798516687343,,6,6
2021,Prefeitura Municipal de Lucena - PB,ISS,17646932.0,13214.0,-27.90655424561438,1.0244648318042726,,6,6
2022,Prefeitura Municipal de Lucena - PB,ISS,204642310.0,13344.0,1059.648090670945,0.9838050552444466,,6,6
2023,Prefeitura Municipal de Lucena - PB,ISS,212272006.0,13344.0,3.728308188077034,0.0,,6,6
2024,Prefeitura Municipal de Lucena - PB,ISS,130976798.0,13431.042857142864,3.728308188077034,,0.0,6,6
2025,Prefeitura Municipal de Lucena - PB,ISS,131387356.5,13508.100000000006,3.728308188077034,,0.0,6,6
2017,Prefeitura Municipal de Lucena - PB,ITBI,105941760.0,12965.0,95.33734876380562,1.2574195563886281,,6,6
2018,Prefeitura Municipal de Lucena - PB,ITBI,186968292.0,12965.0,76.48214641705027,0.0,,6,6
2019,Prefeitura Municipal de Lucena - PB,ITBI,328204992.0,12944.0,75.54045581161965,-0.16197454685692447,,6,6
2020,Prefeitura Municipal de Lucena - PB,ITBI,388033077.0,13080.0,18.228877213421548,1.0506798516687343,,6,6
2021,Prefeitura Municipal de Lucena - PB,ITBI,386214363.0,13214.0,-0.46870076490928003,1.0244648318042726,,6,6
2022,Prefeitura Municipal de Lucena - PB,ITBI,264565854.0,13344.0,-31.49766571472641,0.9838050552444466,,6,6
2023,Prefeitura Municipal de Lucena - PB,ITBI,279455082.0,13344.0,5.627796548529651,0.0,,6,6
2024,Prefeitura Municipal de Lucena - PB,ITBI,374340178.84285736,13431.042857142864,5.627796548529651,,0.0,6,6
2025,Prefeitura Municipal de Lucena - PB,ITBI,396777721.80000305,13508.100000000006,5.627796548529651,,0.0,6,6
2017,Prefeitura Municipal de Maragogi - AL,IPTU,603854930.0,32568.0,,,,6,6
2018,Prefeitura Municipal de Maragogi - AL,IPTU,494559287.0,32568.0,-18.099652345307504,0.0,,6,6
2019,Prefeitura Municipal de Maragogi - AL,IPTU,979186481.0,32369.0,97.99172854275002,-0.6110292311471421,,6,6
2020,Prefeitura Municipal de Maragogi - AL,IPTU,801674549.0,32704.0,-18.12851131469001,1.034940838456544,,6,6
2021,Prefeitura Municipal de Maragogi - AL,IPTU,2053957864.0,33032.0,156.2084410141353,1.0029354207436336,,6,6
2022,Prefeitura Municipal de Maragogi - AL,IPTU,1239219929.0,33351.0,-39.6667307192627,0.9657302010172009,,6,6
2023,Prefeitura Municipal de Maragogi - AL,IPTU,1744747783.0,33351.0,40.794038424474046,0.0,,6,6
2024,Prefeitura Municipal de Maragogi - AL,IPTU,2015850446.8475952,33490.73333333334,40.794038424474046,,0.0,6,6
2025,Prefeitura Municipal de Maragogi - AL,IPTU,2235207840.961853,33651.93333333335,40.794038424474046,,0.0,6,6
2017,Prefeitura Municipal de Maragogi - AL,ISS,1566114488.0,32568.0,,,,6,6
